question,correct_answer,explanation,difficulty,category,option_A,option_B,option_C,option_D
"What is the Swedish word for ""window""?",B,Category: General Knowledge,medium,General Knowledge,Skärm,Fönster,Ruta,Hål
Which of these companies does NOT manufacture automobiles?,D,Category: General Knowledge,medium,General Knowledge,Nissan,Fiat,GMC,Ducati
How many colors are there in a rainbow?,B,Category: General Knowledge,easy,General Knowledge,10,7,8,9
"In ""Resident Evil 3"", how many inventory slots does Jill have at the start of the game?",B,Category: General Knowledge,hard,General Knowledge,10,8,6,12
"What is the profession of Elon Musk's mom, Maye Musk?",D,Category: General Knowledge,easy,General Knowledge,Musician,Biologist,Professor,Model
What was the original name of New York City?,A,Category: History,hard,History,New Amsterdam,New Rome,New London,New Paris
When was the United States National Security Agency established?,C,Category: History,medium,History," November 25, 2002"," July 1, 1973","November 4, 1952","July 26, 1908"
Which one of these rulers did not belong to the Habsburg dynasty?,C,Category: History,hard,History,Charles V,Philip II,Philip V,Francis Joseph
Bohdan Khmelnytsky was which of the following?,A,Category: History,hard,History,Leader of the Ukrainian Cossacks,Grand Prince of Novgorod,Prince of Wallachia,General Secretary of the Communist Party of the USSR
"Which country did the Eureka Rebellion, an 1856 battle against colonial rule, take place in?",C,Category: History,hard,History,Canada,India,Australia,Brazil
