question,correct_answer,explanation,difficulty,category,option_A,option_B,option_C,option_D
"Who said: ""I only have my shitty Bluetooth ones ""?",A,Benny said this savage line!,hard,Savage Quotes,Benny,Ian,Gina,Jackson
"Who said: ""Reacted 😂 to “Lauren ass when Shan picks her to babysit Bailey over Gina ”""?",C,Shan said this savage line!,hard,Savage Quotes,Lauren,Jackson,Shan,Benny
"Who said: ""Shit!  I already ordered. ""?",B,Lauren said this savage line!,hard,Savage Quotes,Benny,Lauren,Jackson,Ian
How many colors are there in a rainbow?,B,Category: General Knowledge,easy,General Knowledge,10,7,8,9
"In ""Resident Evil 3"", how many inventory slots does Jill have at the start of the game?",B,Category: General Knowledge,hard,General Knowledge,10,8,6,12
"Which country did the Eureka Rebellion, an 1856 battle against colonial rule, take place in?",C,Category: History,hard,History,Canada,India,Australia,Brazil
"Who said: ""Haven’t been home yet.  Walking Bentley.  ""?",C,Lauren said this iconic line!,medium,Who Said It,Gina,Jackson,Lauren,Ian
"Who said: ""I felt bad because I knew you were too sleepy to give a fuck lol but I’ve been waiting for you to wake up and see it ☺️""?",A,Gina said this savage line!,hard,Savage Quotes,Gina,Ian,Shan,Lauren
What was the original name of New York City?,A,Category: History,hard,History,New Amsterdam,New Rome,New London,New Paris
"Who said: ""Nah I think ima pass ""?",B,Ian said this savage line!,hard,Savage Quotes,Benny,Ian,Gina,Shan
"Who said: ""I’\nI’m just now getting home. Fuck my life. ""?",B,Ian said this savage line!,hard,Savage Quotes,Gina,Ian,Lauren,Shan
Which one of these rulers did not belong to the Habsburg dynasty?,C,Category: History,hard,History,Charles V,Philip II,Philip V,Francis Joseph
When was the United States National Security Agency established?,C,Category: History,medium,History," November 25, 2002"," July 1, 1973","November 4, 1952","July 26, 1908"
"What is the profession of Elon Musk's mom, Maye Musk?",D,Category: General Knowledge,easy,General Knowledge,Musician,Biologist,Professor,Model
"Who said: ""I have Verizon and my shit is all over the place ""?",C,Jackson said this savage line!,hard,Savage Quotes,Lauren,Ian,Jackson,Benny
Which of these companies does NOT manufacture automobiles?,D,Category: General Knowledge,medium,General Knowledge,Nissan,Fiat,GMC,Ducati
"What is the Swedish word for ""window""?",B,Category: General Knowledge,medium,General Knowledge,Skärm,Fönster,Ruta,Hål
Bohdan Khmelnytsky was which of the following?,A,Category: History,hard,History,Leader of the Ukrainian Cossacks,Grand Prince of Novgorod,Prince of Wallachia,General Secretary of the Communist Party of the USSR
