question,correct_answer,explanation,difficulty,category,option_A,option_B,option_C,option_D
"Who said: ""with my boss like what the actual fuck such a waste of time ""?",A,Benny said this savage line!,hard,Savage Quotes,Benny,Ian,Jackson,Lauren
"Who said: ""\nI fucked up that’s what I did ""?",A,Ian said this iconic line!,medium,Who Said It,Ian,Gina,Shan,Jackson
"What is the profession of Elon Musk's mom, Maye Musk?",D,Category: General Knowledge,easy,General Knowledge,Musician,Biologist,Professor,Model
Bohdan Khmelnytsky was which of the following?,A,Category: History,hard,History,Leader of the Ukrainian Cossacks,Grand Prince of Novgorod,Prince of Wallachia,General Secretary of the Communist Party of the USSR
"Who said: ""I only have my shitty Bluetooth ones ""?",A,Benny said this savage line!,hard,Savage Quotes,Benny,Ian,Gina,Jackson
Which one of these rulers did not belong to the Habsburg dynasty?,C,Category: History,hard,History,Charles V,Philip II,Philip V,Francis Joseph
"Who said: ""If you're interested, I recommend applying to be an ambassador. ""?",C,Shan said this savage line!,hard,Savage Quotes,Benny,Jackson,Shan,Ian
"Who said: ""I felt bad because I knew you were too sleepy to give a fuck lol but I’ve been waiting for you to wake up and see it ☺️""?",A,Gina said this savage line!,hard,Savage Quotes,Gina,Ian,Shan,Lauren
"Who said: ""They’re trying to make me go to fuuuuucking St. Louis for an in person meeting what the actual fuck ""?",C,Benny said this savage line!,hard,Savage Quotes,Jackson,Gina,Benny,Ian
"Who said: ""Reacted 😂 to “Lauren ass when Shan picks her to babysit Bailey over Gina ”""?",C,Shan said this savage line!,hard,Savage Quotes,Lauren,Jackson,Shan,Benny
What was the original name of New York City?,A,Category: History,hard,History,New Amsterdam,New Rome,New London,New Paris
When was the United States National Security Agency established?,C,Category: History,medium,History," November 25, 2002"," July 1, 1973","November 4, 1952","July 26, 1908"
"In ""Resident Evil 3"", how many inventory slots does Jill have at the start of the game?",B,Category: General Knowledge,hard,General Knowledge,10,8,6,12
Which of these companies does NOT manufacture automobiles?,D,Category: General Knowledge,medium,General Knowledge,Nissan,Fiat,GMC,Ducati
"Which country did the Eureka Rebellion, an 1856 battle against colonial rule, take place in?",C,Category: History,hard,History,Canada,India,Australia,Brazil
"Who said: ""Shit!  I already ordered. ""?",B,Lauren said this savage line!,hard,Savage Quotes,Benny,Lauren,Jackson,Ian
"Who said: ""I have Verizon and my shit is all over the place ""?",C,Jackson said this savage line!,hard,Savage Quotes,Lauren,Ian,Jackson,Benny
Who complains about Kroger the most?,C,Benny has strong feelings about Kroger!,medium,Personality,Gina,Ian,Benny,Lauren
"Who said: ""Damn, the bob was HOT!! 🔥""?",B,Shan said this savage line!,hard,Savage Quotes,Jackson,Shan,Gina,Ian
"Who said: "" Hey can I ask you a Bentley favor ""?",B,Gina said this iconic line!,medium,Who Said It,Jackson,Gina,Lauren,Benny
Who has the filthiest mouth and curses the most?,C,Benny dropped 104 curse words! Wash that mouth out!,easy,Savage Stats,Shan,Jackson,Benny,Lauren
"What is the Swedish word for ""window""?",B,Category: General Knowledge,medium,General Knowledge,Skärm,Fönster,Ruta,Hål
"Who said: ""Haven’t been home yet.  Walking Bentley.  ""?",C,Lauren said this iconic line!,medium,Who Said It,Gina,Jackson,Lauren,Ian
"Who said: ""￼Document came in hell yea brotha ""?",B,Ian said this savage line!,hard,Savage Quotes,Benny,Ian,Lauren,Jackson
"Who said: ""I’\nI’m just now getting home. Fuck my life. ""?",B,Ian said this savage line!,hard,Savage Quotes,Gina,Ian,Lauren,Shan
How many colors are there in a rainbow?,B,Category: General Knowledge,easy,General Knowledge,10,7,8,9
Who has beef with Kroger and won't shut up about it?,C,Benny has a toxic relationship with Kroger!,easy,Savage Stats,Lauren,Shan,Benny,Jackson
